"type","name","label","label..Arabic","relevant","constraint","required","repeat_count","constraint_message","constraint_message..Arabic","read_only","appearance","choice_filter","default","calculation","hint","hint..Arabic"
"select_multiple livelihood_type","livelihood_pre_displace","What were your household's primary livelihood sources prior to your displacement? (up to 3)","ماذا كانت مصادر الدخل الأساسية للاسرة الخاصة بك قبل النزوح؟ (3 كحد اقصى) ( لا تقرأ من القائمة )","${calc_idp} = 1 or ${calc_returnee} = 1
","count-selected(.)<=3","yes","","","",NA,"","",NA,"","",""
"text","livelihood_pre_displace_other","if other, specify please","إذا أخرى, الرجاء الشرح","selected(${livelihood_pre_displace},'other')","","yes","","","",NA,"","",NA,"","",""
"select_multiple employment","employment_source_pre_displace","What were the main sources of occupation / employment? ","ماذا كانت المصار الرئيسية للوظيفة او العمل قبل النزوح","selected(${livelihood_pre_displace},'Employment')","","yes","","","",NA,"","",NA,"","",""
"text","employment_source_pre_displace_other","if other, specify please","إذا أخرى, الرجاء الشرح","selected(${employment_source_pre_displace},'other')","","yes","","","",NA,"","",NA,"","",""
"begin group","expenses","In total, how much Iraqi Dinars did your household spend on basic needs over the last 30 days in IQD?","خلال الايام ال30 الماضية,كم هو المال التقريبي الذي انفقت لتغطية الاحتياجات الرئيسية للاسرة بالدينار العراقي ?","","","","","","",NA,"field-list","",NA,"","Please enter the FULL IQD amount (i.e. 1,000 IQD)","الرجاء ادخال الرقم بشكل كامل بالدينار العراقي ( مثال: 1000 دينار)"
"integer","rent_exp_basic_needs","Rent"," الايجار","",".=0 or .>=999 and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","shelter_exp_basic_needs","Shelter maintenance"," تصليح المأوى الخاص بك","",".=0 or .>=999 and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","food_exp_basic_needs","Food"," الغذاء","",".=0 or .>=999 and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","electric_exp_basic_needs","Electricity","الكهرباء ","",".=0 or .>=999 and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","medical_exp_basic_needs","Medical Care (including medicines)","الرعاية الصحية (بما فيها الادوية)","",".=0 or .>=999 and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","education_exp_basic_needs","Education","التعليم ","",".=0 or .>=999 and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","water_exp_basic_needs","Water","الماء  ","",".=0 or .>=999 and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","NFI_exp_basic_needs","Non-Food (household) items","المواد غير الغذائية ( للاسرة)","",".=0 or .>=999 and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","transportation_exp_basic_needs","Transportaion","المواصلات","",".=0 or .>=999 and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","communication_exp_basic_needs","Communication","الاتصالات","",".=0 or .>=999 and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","debt_exp_basic_needs","Debt payment","سداد الدين","",".=0 or .>=999 and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","productive_assets","Productive assets","مقتنيات انتاجية ( كالسيارة او مكينة الخياطة او دراجة نارية)","",".=0 or .>=999 and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"integer","other_payment_exp_basic_needs","Other payment","نفقات اخرى","",".=0 or .>=999 and .<= 10000000","yes","","","",NA,"","",NA,"","",""
"calculate","tot_expenditure","","","","","","","","",NA,"","",NA,"${rent_exp_basic_needs}+${shelter_exp_basic_needs}+${food_exp_basic_needs}+${medical_exp_basic_needs}+${education_exp_basic_needs}+${electric_exp_basic_needs}+${water_exp_basic_needs}+${debt_exp_basic_needs}+${NFI_exp_basic_needs}+${communication_exp_basic_needs}+${transportation_exp_basic_needs}+${other_payment_exp_basic_needs}","",""
"end group","","","","","","","","","",NA,"","",NA,"","",""
"text","payment_exp_basic_needs_other","Please describe on what was the other payment?","حدد، على ماذا كانت تلك المصاريف الاخرى","${other_payment_exp_basic_needs}>0","","yes","","","",NA,"","",NA,"","",""
"note","expenditure_note","Total expenditure in IQDs over the last 30 days on all basic needs: ${tot_expenditure}","مجموع المصاريف بالدينار العراقي خلال ال30 يوم الماضي الذي تم انفاقه على جميع الاحتياجات  الاساسية    ${tot_expenditure}","","","","","","",NA,"","",NA,"","",""
"integer","how_much_debt","What is your household's total amount of debt, in IQD? ","بالدينار العراقي,كم من الدين المستحق على اسرتك  ؟","",".=0 or .>=999","yes","","","",NA,"","",NA,"","",""
"select_one reasons_for_debt","reasons_for_debt","What was the primary reason behind taking on debt? ","ما ذا كان السبب الرئيسي وراء اقتراض المال؟","${how_much_debt}>0","","yes","","","",NA,"","",NA,"","",""
"text","other_reasons_for_debt","If other, specify please","إذا أخرى, الرجاء الشرح","selected(${reasons_for_debt},'other')","","yes","","","",NA,"","",NA,"","",""
"select_multiple borrow_money","borrowing_from","Who did you borrow money from? (select all that apply)","مِمن استقرضتَ المال؟","${how_much_debt}>0","","yes","","","",NA,"","",NA,"","",""
"text","borrowing_from_other","if other, please describe","اذا اخرى الرجاء الوصف","selected(${borrowing_from},'other')","","yes","","","",NA,"","",NA,"","",""
"select_one place3","market_place","How far is the closest functioning market that you have been able to access in the past month? ","كم يبعد أقرب سوق عامل استطعت الوصول إليه في الشهر الماضي؟","","","yes","","","",NA,"","",NA,"","30 minutes walking = 2 km (approximately)","دقيقة مشي أي مايعادل 2كم بشكل تقريبي30  "
"select_multiple market_items","market_items","If yes, what is available on the market?","إذا تمت الاجابة، ما هي المواد المتوفرة في هذا السوق؟","not(selected(${market_place},'none') or selected(${market_place},'do_not_know'))","","yes","","","",NA,"","",NA,"","",""
"text","market_items_other","if other, please describe","اذا اخرى الرجاء الوصف","selected(${market_items},'other')","","","","","",NA,"","",NA,"","",""
"select_multiple livelihoods_needs","livelihoods_needs","What are the main livelihood needs for your household?  (select all that apply)","ماهي اهم احتياجات الحياة المعيشية للاسرة؟ (اختر ماينطبق)","","","yes","","","",NA,"","",NA,"","",""
"text","livelihoods_needs_other","if other, please describe","اذا اخرى الرجاء الوصف","selected(${livelihoods_needs},'other')","","yes","","","",NA,"","",NA,"","",""
"end group","","","الحياة المعيشية","","","","","","",NA,"","",NA,"","",""
"select_multiple Needs","priority_needs","What are your top 3 priority needs? (Do not read out the list)","ما هي الاحتياجات الثلاث الرئيسية لدى الاسرة ؟( لا تقرأ من القائمة )","${calc_noteligible} = 0","count-selected(.)<=3","yes","","You cannot select more than 3 options.","الرجاء تحديد 3 احتياجات فقط",NA,"","",NA,"","",""
"text","other_priority_needs","If other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${priority_needs},'other')","","yes","","","",NA,"","",NA,"","",""
"begin group","accountability","Accountability to affected populations","المساءلة على السكان المتضررين","${calc_noteligible} = 0","","","","","",NA,"","",NA,"","",""
"select_multiple info_aid","info_aid","What type of information would you like to receive from aid providers (top 3)? Please specify your top 3 priorities.","مانوع المعلومات التي ترغب في الحصول عليها من مقدمي المعونة؟ ( اختر اهم 3)","","count-selected(.)<=3","yes","","You cannot select more than 3 options.","",NA,"","",NA,"","",""
"text","info_aid_other","if other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${info_aid},'other')","","yes","","","",NA,"","",NA,"","",""
"select_multiple info_provider","info_provider","Who/where would you prefer to receive information from (top 3)?
","ممن او من اين تفضل تلقي هذه المعلومات؟ اختر اهم 3","","count-selected(.)<=3","yes","","You cannot select more than 3 options.","",NA,"","",NA,"","",""
"text","info_provider_other","if other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${info_provider},'other')","","yes","","","",NA,"","",NA,"","",""
"select_multiple info_mode","info_mode","What is your preferred means of receiving the information (top 3)?","ماهي الوسائل المفضلة لديك لتلقي المعلومات ( اختر اهم 3)؟","","count-selected(.)<=3","yes","","You cannot select more than 3 options.","",NA,"","",NA,"","",""
"text","info_mode_other","if other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${info_mode},'other')","","yes","","","",NA,"","",NA,"","",""
"select_one YND","aid_received","Have you received aid in the past 30 days?
","هل استلمت معونات او مساعدات خلال ال30 يوما الماضية؟","","","yes","","","",NA,"","",NA,"","",""
"select_multiple aid_type","aid_type","What kind did you receive? ","مانوع المساعدة التي استلمتها؟","selected(${aid_received},'yes')","","yes","","","",NA,"","",NA,"","",""
"select_one YND1","aid_satisfaction","If you have received aid in the last 30 days, are you satisfied with the aid you received?
","اذا نعم، هل انت راضٍ عن المساعدة التي استلمتها؟","selected(${aid_received},'yes')","","yes","","","",NA,"","",NA,"","",""
"select_one aid_not_satisfied","aid_not_satisfied","If you have received aid in the last 30 days and were not satisfied, why were you not satisfied with the aid received?","اذا كنت قد تلقيت المساعدة خلال ال30 يوما الماضية ولم تكن راضيا بها، ماسبب عدم رضاك؟","selected(${aid_satisfaction},'no')","","yes","","","",NA,"","",NA,"","",""
"text","aid_not_satisfied_other","if other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${aid_not_satisfied},'other')","","","","","",NA,"","",NA,"","",""
"select_one YNDD","aid_workers_satisfied","Are you satisfied with the way aid workers have behaved in the last 6 months in your location?  ","هل انت راضٍ عن التصرّف الذي قام به عمال الاغاثة خلال ال6 اشهر الماضية في موقعك؟","","","yes","","","",NA,"","",NA,"","",""
"text","aid_workers_whyno","If not, why not?","اذا كلا، مالسبب؟","selected(${aid_workers_satisfied},'no')","","yes","","","",NA,"","",NA,"","",""
"select_multiple aid_feedback","aid_feedback","How would you prefer to provide feedback to aid providers about the quality, quantity and appropriateness of the aid you will receive (top 3)?  ","كيف تفضل تقديم تعليقات لمقدمي المساعدات حول جودة وكمية وملاءمة المعونة التي ستحصل عليها (اختر 3 كحد اعلى)؟","","count-selected(.)<=3","yes","","You cannot select more than 3 options.","",NA,"","",NA,"","",""
"text","aid_feedback_other","if other, please describe","اذا كان الجواب اخر ,الرجاء الوصف ","selected(${aid_feedback},'other')","","yes","","","",NA,"","",NA,"","",""
"select_one YNDD","community_decision_making","Do you feel like you have a say in decisions that affect your community?","هل تشعر وكأنك لديك رأي في القرارات التي تؤثر على مجتمعك؟","","","yes","","","",NA,"","",NA,"","",""
"end group","","","","","","","","","",NA,"","",NA,"","",""
"begin group","Contact_group","Contact","اتصال","${calc_noteligible} = 0","","","","","",NA,"","",NA,"","",""
"select_one Yes_No","further_contact_willing","Are you prepared to provide your details so that we can contact you by telephone to take part in other future assessments about your area of origin?","هل انت مستعد لتقديم التفاصيل الخاصة بك بحيث نستطيع الاتصال بك على الهاتف في المستقبل من اجل المشاركة في التقييمات الاخرى عن منطقتك المنشأ ؟ ","","","yes","","","",NA,"","",NA,"","",""
"begin group","contact_details","Please provide your contact details:","يرجى تقديم تفاصيل الاتصال الخاصة بك","selected(${further_contact_willing},'yes')","","","","","",NA,"field-list","",NA,"","",""
"text","contact_details_name","Full name","الاسم الكامل","selected(${further_contact_willing}, 'yes')","","yes","","","",NA,"","",NA,"","",""
"text","contact_details_telephone","Telephone number","رقم الهاتف","selected(${further_contact_willing}, 'yes')","regex(., '^[0]{1}[0-9]{10}$')","yes","","should be 11 digits and start with 0","ينبغي ان يكون 11 رقماً ويبدأ بـ 0",NA,"","",NA,"","",""
"end group","","","","","","","","","",NA,"","",NA,"","",""
"end group","","","","","","","","","",NA,"","",NA,"","",""
"geopoint","gpslocation","Record the current location within 5 meters of accuracy","الرجاء تحديد الموقع ضمن مسافة 5 امتار ان امكن","${calc_noteligible} = 0","","","","","",NA,"","",NA,"","",""
"note","thanks","END OF SURVEY - THANK YOU FOR YOUR TIME please exit the form and submit it","نهايه الاستطلاع شكرا لوقتك الرجاء أغلاق الاستمارة وأرسالها.","","","","","","",NA,"","",NA,"","",""
"","","","","","","","","","",NA,"","",NA,"","",""
"","","","","","","","","","",NA,"","",NA,"","",""
"","","","","","","","","","",NA,"","",NA,"","",""
"","","","","","","","","","",NA,"","",NA,"","",""
"","","","","","","","","","",NA,"","",NA,"","",""
"","","","","","","","","","",NA,"","",NA,"","",""
"","","","","","","","","","",NA,"","",NA,"","",""
"","","","","","","","","","",NA,"","",NA,"","",""
"","","","","","","","","","",NA,"","",NA,"","",""
"","","","","","","","","","",NA,"","",NA,"","",""
"","","","","","","","","","",NA,"","",NA,"","",""
"","","","","","","","","","",NA,"","",NA,"","",""
"","","","","","","","","","",NA,"","",NA,"","",""
"","","","","","","","","","",NA,"","",NA,"","",""
